date,positive_cases,recovered,new_persons_in_surveillance,new_persons_in_home_ins_isolation,new_persons_in_hospital_isolation,daily_deaths,deaths_declared_as_per_appeal,pending_deaths
2021-12-21,5219819,5145501,9586,9393,193,44922,10989.0,3779.0
2021-12-22,5222567,5148703,7185,7001,184,45155,11189.0,3779.0
2021-12-23,5225772,5151715,7873,7680,193,45538,11536.0,3779.0
2021-12-24,5228286,5155142,7055,6877,178,45861,11805.0,3779.0
2021-12-25,5230891,5158423,7413,7200,213,46203,12116.0,3779.0
2021-12-26,5233298,5161800,5110,4947,163,46318,12220.0,3779.0
2021-12-27,5235122,5165164,5330,5188,142,46586,12472.0,3779.0
2021-12-28,5236758,5168028,6223,6091,132,46822,12685.0,3779.0
2021-12-29,5239232,5171080,5646,5449,197,47066,12891.0,3779.0
2021-12-30,5242078,5173656,5221,4774,447,47277,13090.0,3779.0
2021-12-31,5244501,5176535,5828,5656,172,47441,13239.0,3779.0
2022-01-01,5247177,5179277,9852,9695,157,47794,13581.0,3779.0
2022-01-02,5249612,5181981,6513,6344,169,48035,13800.0,3779.0
2022-01-03,5252414,5184587,4484,4335,149,48113,13866.0,3779.0
2022-01-04,5254974,5186737,8201,8034,167,48184,13907.0,3779.0
2022-01-05,5258614,5189100,7831,7651,180,48637,14330.0,3779.0
