date,seaport,ships_arrived,passengers,positive_cases
2020-08-26,thoothukudi,5,2286,34
2020-08-26,total,6,2447,34
2020-08-23,chennai,1,161,0
2020-08-23,thoothukudi,5,2286,34
2020-08-23,total,6,2447,34
2020-08-19,chennai,1,161,0
2020-08-19,thoothukudi,5,2286,34
2020-08-19,total,6,2447,34
2020-08-18,chennai,1,161,0
2020-08-18,thoothukudi,5,2286,34
2020-08-18,total,6,2447,34
2020-08-14,chennai,1,161,0
2020-08-14,thoothukudi,5,2286,34
2020-08-14,total,6,2447,34
2020-08-13,chennai,1,161,0
2020-08-13,thoothukudi,5,2286,34
2020-08-13,total,6,2447,34
2020-08-11,chennai,1,161,0
2020-08-11,thoothukudi,5,2286,34
2020-08-11,total,6,2447,34
2020-08-09,chennai,1,161,0
2020-08-09,thoothukudi,5,2286,34
2020-08-09,total,6,2447,34
2020-08-08,chennai,1,161,0
2020-08-08,thoothukudi,5,2286,34
2020-08-08,total,6,2447,34
2020-08-07,chennai,1,161,0
2020-08-07,thoothukudi,5,2286,34
2020-08-07,total,6,2447,34
2020-07-30,chennai,1,161,0
2020-07-30,thoothukudi,5,2286,34
2020-07-30,total,6,2447,34
2020-07-29,chennai,1,161,0
2020-07-29,thoothukudi,5,2286,34
2020-07-29,total,6,2447,34
2020-07-26,chennai,1,161,0
2020-07-26,thoothukudi,5,2286,34
2020-07-26,total,6,2447,34
2020-07-23,chennai,1,161,0
2020-07-23,thoothukudi,5,2286,34
2020-07-23,total,6,2447,34
2021-12-14,chennai,1,161,0
2021-12-14,thoothukudi,5,2286,34
2021-12-14,total,6,2447,34
2021-12-15,chennai,1,161,0
2021-12-15,thoothukudi,5,2286,34
2021-12-15,total,6,2447,34
2021-12-16,chennai,1,161,0
2021-12-16,thoothukudi,5,2286,34
2021-12-16,total,6,2447,34
