date,active_cases,tested_positive_today,tested_positive_till_date,rtpcr_samples_tested_today,rtpcr_samples_tested_till_date,persons_tested_rt_pcr_today,persons_tested_rt_pcr_till_date,male_positive_tests_today,female_positive_tests_today,transgender_positive_tests_today,male_positive_tests_till_date,female_positive_tests_till_date,transgender_positive_tests_till_date,discharged_today,discharged_total,deaths_today,deaths_total,deaths_private_hospitals,deaths_government_hopitals
2021-12-04,8070,726,2729792,106505,54681905,106254,53748502,422,309,0,1593342,1136412,38,753,2685203,6,36519,2,4
2021-12-05,8041,724,2730516,102068,54783973,101820,53850322,430,294,0,1593772,1136706,38,743,2685946,10,36529,5,5
2021-12-06,8013,719,2731235,101255,54885228,101009,53951331,429,290,0,1594201,1136996,38,737,2686683,10,36539,3,7
2021-12-07,7982,708,2731945,100393,54985621,100149,54051480,411,299,0,1594612,1137295,38,731,2687414,10,36549,4,6
2021-12-08,7946,703,2732648,101766,55087387,101523,54153003,427,276,0,1595039,1137571,38,728,2688142,11,36560,4,7
2021-12-09,7883,696,2733346,102043,55189430,101794,54254797,409,289,0,1595448,1137860,38,746,2688888,15,36575,6,9
2021-12-10,7821,687,2734034,103017,55292447,102771,54357568,415,273,0,1595863,1138133,38,739,2689627,11,36586,5,6
2021-12-11,7770,681,2734715,102414,55394861,102174,54459742,401,280,0,1596264,1138413,38,719,2690346,13,36599,7,6
2021-12-13,7666,656,2736046,100085,55596111,99851,54660522,382,275,0,1597039,1138969,38,702,2691756,12,36624,5,7
2021-12-14,7611,647,2736695,103889,55700000,103657,54764179,369,280,0,1597408,1139249,38,695,2692451,9,36633,3,6
2021-12-15,7548,640,2737335,102775,55802775,102544,54866723,372,268,0,1597780,1139517,38,692,2693143,11,36644,2,9
2021-12-16,7476,627,2737962,104531,55907306,104302,54971025,365,262,0,1598145,1139779,38,687,2693830,12,36656,4,8
2021-12-17,7407,620,2738583,105974,56013280,105748,55076773,357,264,0,1598502,1140043,38,679,2694509,11,36667,4,7
2021-12-18,7346,613,2739196,100175,56113455,99953,55176726,349,264,0,1598851,1140307,38,665,2695174,9,36676,3,6
2021-12-19,7172,600,2740411,101237,56316308,101005,55379120,363,242,0,1599575,1140798,38,697,2696553,6,36686,2,4
2021-12-20,7172,600,2740411,101237,56316308,101005,55379120,363,242,0,1599575,1140798,38,697,2696553,6,36686,2,4
2021-12-21,7078,600,2741013,100342,56416650,100112,55479232,351,251,0,1599926,1141049,38,691,2697244,5,36691,2,3
2021-12-22,6979,599,2741617,101713,56518363,101481,55580713,344,260,0,1600270,1141309,38,695,2697939,8,36699,3,5
