date,district_name,hospital_name,cases_new,deaths_new,discharged_new,cases_total,deaths_total,discharged_total,migrated_total
2021-06-13,Haridwar,Military Hospital Roorkee,,,,2,1,0,
2021-06-13,Haridwar,"Aarogyam Hospital, Roorkee",,,,1,0,0,
2021-06-12,Udham Singh Nagar,"JLN District Hospital, Rudrapur",,,,1,1,0,
2021-06-12,Dehradun,City Heart Hospital,,,,1,0,0,
2021-06-12,Dehradun,AIIMS Rishikesh,,,,239,40,6,
2021-06-12,Dehradun,Max Hospital,,,,14,1,7,
2021-06-12,Dehradun,Doon Medical College,,,,20,0,5,
2021-06-12,Dehradun,Sri Mahant Indresh Hospital,,,,27,3,10,
2021-06-12,Dehradun,HIHT Joly Grant,,,,34,8,7,
2021-06-12,Dehradun,Aarogyadham Hospital,,,,2,0,0,
2021-06-12,Dehradun,ONGC Hospital,,,,2,0,0,
2021-06-12,Dehradun,Synergy Hospital,,,,2,1,0,
2021-06-12,Dehradun,Military Hospital Dehradun,,,,1,0,0,
2021-06-12,Nainital,"Krishna Hospital, Haldwani",,,,3,1,0,
2021-06-12,Nainital,"Dr. Susheela Tiwari Govt. Hospital, Haldwani",,,,29,4,0,
2021-06-12,Uttarkashi,District Hospital,,,,2,0,0,
2021-06-12,Haridwar,Military Hospital Roorkee,,,,2,1,0,
2021-06-12,Haridwar,"Aarogyam Hospital, Roorkee",,,,1,0,0,
2021-06-11,Udham Singh Nagar,"JLN District Hospital, Rudrapur",,,,1,1,0,
2021-06-11,Dehradun,City Heart Hospital,,,,1,0,0,
2021-06-11,Dehradun,AIIMS Rishikesh,,,,228,38,6,
2021-06-11,Dehradun,Max Hospital,,,,14,1,7,
2021-06-11,Dehradun,Doon Medical College,,,,20,0,5,
2021-06-11,Dehradun,Sri Mahant Indresh Hospital,,,,27,3,10,
2021-06-11,Dehradun,HIHT Joly Grant,,,,34,8,7,
2021-06-11,Dehradun,Aarogyadham Hospital,,,,2,0,0,
2021-06-11,Dehradun,ONGC Hospital,,,,2,0,0,
2021-06-11,Dehradun,Synergy Hospital,,,,2,1,0,
2021-06-11,Dehradun,Military Hospital Dehradun,,,,1,0,0,
2021-06-11,Nainital,"Krishna Hospital, Haldwani",,,,3,1,0,
2021-06-11,Nainital,"Dr. Susheela Tiwari Govt. Hospital, Haldwani",,,,29,4,0,
2021-06-11,Uttarkashi,District Hospital,,,,2,0,0,
2021-06-11,Haridwar,Military Hospital Roorkee,,,,2,1,0,
2021-06-11,Haridwar,"Aarogyam Hospital, Roorkee",,,,1,0,0,
2021-06-10,Udham Singh Nagar,"JLN District Hospital, Rudrapur",,,,1,1,0,
2021-06-10,Dehradun,City Heart Hospital,,,,1,0,0,
2021-06-10,Dehradun,AIIMS Rishikesh,,,,220,38,6,
2021-06-10,Dehradun,Max Hospital,,,,10,1,3,
2021-06-10,Dehradun,Doon Medical College,,,,19,0,5,
2021-06-10,Dehradun,Sri Mahant Indresh Hospital,,,,27,3,10,
2021-06-10,Dehradun,HIHT Joly Grant,,,,34,6,7,
2021-06-10,Dehradun,Aarogyadham Hospital,,,,2,0,0,
2021-06-10,Dehradun,ONGC Hospital,,,,2,0,0,
2021-06-10,Dehradun,Synergy Hospital,,,,2,1,0,
2021-06-10,Dehradun,Military Hospital Dehradun,,,,1,0,0,
2021-06-10,Dehradun,Suri Diagnostics,,,,1,0,0,
2021-06-10,Nainital,"Krishna Hospital, Haldwani",,,,3,1,0,
2021-06-10,Nainital,"Dr. Susheela Tiwari Govt. Hospital, Haldwani",,,,28,4,0,
2021-06-10,Nainital,Tiwari Nursing Home,,,,1,0,0,
2021-06-10,Uttarkashi,District Hospital,,,,2,0,0,
2021-06-10,Haridwar,Military Hospital Roorkee,,,,2,1,0,
2021-06-09,Udham Singh Nagar,"JLN District Hospital, Rudrapur",,,,1,1,0,
2021-06-09,Dehradun,City Heart Hospital,,,,1,0,0,
2021-06-09,Dehradun,AIIMS Rishikesh,,,,208,33,6,
2021-06-09,Dehradun,Max Hospital,,,,10,1,3,
2021-06-09,Dehradun,Doon Medical College,,,,12,0,3,
2021-06-09,Dehradun,Sri Mahant Indresh Hospital,,,,26,3,0,
2021-06-09,Dehradun,HIHT Joly Grant,,,,33,6,6,
2021-06-09,Dehradun,Aarogyadham Hospital,,,,2,0,0,
2021-06-09,Dehradun,ONGC Hospital,,,,2,0,0,
2021-06-09,Dehradun,Synergy Hospital,,,,2,1,0,
2021-06-09,Dehradun,Military Hospital Dehradun,,,,1,0,0,
2021-06-09,Dehradun,Suri Diagnostics,,,,1,0,0,
2021-06-09,Nainital,"Krishna Hospital, Haldwani",,,,3,1,0,
2021-06-09,Nainital,"Dr. Susheela Tiwari Govt. Hospital, Haldwani",,,,28,4,0,
2021-06-09,Nainital,Tiwari Nursing Home,,,,1,0,0,
2021-06-09,Uttarkashi,District Hospital,,,,2,0,0,
2021-06-09,Haridwar,Military Hospital Roorkee,,,,2,0,0,
2021-06-08,Udham Singh Nagar,"JLN District Hospital, Rudrapur",,,,1,1,0,
2021-06-08,Dehradun,City Heart Hospital,,,,1,0,0,
2021-06-08,Dehradun,AIIMS Rishikesh,,,,208,33,6,
2021-06-08,Dehradun,Max Hospital,,,,10,1,3,
2021-06-08,Dehradun,Doon Medical College,,,,12,0,3,
2021-06-08,Dehradun,Sri Mahant Indresh Hospital,,,,24,3,0,
2021-06-08,Dehradun,HIHT Joly Grant,,,,32,6,6,
2021-06-08,Dehradun,Aarogyadham Hospital,,,,2,0,0,
2021-06-08,Dehradun,ONGC Hospital,,,,2,0,0,
2021-06-08,Dehradun,Synergy Hospital,,,,2,1,0,
2021-06-08,Dehradun,Military Hospital Dehradun,,,,1,0,0,
2021-06-08,Dehradun,Suri Diagnostics,,,,1,0,0,
2021-06-08,Nainital,"Krishna Hospital, Haldwani",,,,3,1,0,
2021-06-08,Nainital,"Dr. Susheela Tiwari Govt. Hospital, Haldwani",,,,28,4,0,
2021-06-08,Nainital,Tiwari Nursing Home,,,,1,0,0,
2021-06-08,Uttarkashi,District Hospital,,,,2,0,0,
2021-06-08,Haridwar,Military Hospital Roorkee,,,,2,0,0,
2021-06-07,Udham Singh Nagar,"JLN District Hospital, Rudrapur",,,,1,1,0,
2021-06-07,Dehradun,City Heart Hospital,,,,1,0,0,
2021-06-07,Dehradun,AIIMS Rishikesh,,,,199,32,6,
2021-06-07,Dehradun,Max Hospital,,,,10,1,3,
2021-06-07,Dehradun,Doon Medical College,,,,12,0,3,
2021-06-07,Dehradun,Sri Mahant Indresh Hospital,,,,24,3,0,
2021-06-07,Dehradun,HIHT Joly Grant,,,,26,5,6,
2021-06-07,Dehradun,Aarogyadham Hospital,,,,2,0,0,
2021-06-07,Dehradun,ONGC Hospital,,,,1,0,0,
2021-06-07,Dehradun,Synergy Hospital,,,,1,1,0,
2021-06-07,Nainital,"Krishna Hospital, Haldwani",,,,3,1,0,
2021-06-07,Nainital,"Dr. Susheela Tiwari Govt. Hospital, Haldwani",,,,22,4,0,
2021-06-07,Nainital,Tiwari Nursing Home,,,,1,0,0,
2021-06-07,Uttarkashi,District Hospital,,,,1,0,0,
2021-06-06,Udham Singh Nagar,"JLN District Hospital, Rudrapur",,,,1,1,0,
2021-06-06,Dehradun,City Heart Hospital,,,,1,0,0,
2021-06-06,Dehradun,AIIMS Rishikesh,,,,195,31,6,
2021-06-06,Dehradun,Max Hospital,,,,9,1,3,
2021-06-06,Dehradun,Doon Medical College,,,,12,0,3,
2021-06-06,Dehradun,Sri Mahant Indresh Hospital,,,,24,3,0,
2021-06-06,Dehradun,HIHT Joly Grant,,,,26,5,6,
2021-06-06,Dehradun,Aarogyadham Hospital,,,,2,0,0,
2021-06-06,Dehradun,ONGC Hospital,,,,1,0,0,
2021-06-06,Dehradun,Synergy Hospital,,,,1,1,0,
2021-06-06,Nainital,"Krishna Hospital, Haldwani",,,,3,1,0,
2021-06-06,Nainital,"Dr. Susheela Tiwari Govt. Hospital, Haldwani",,,,22,4,0,
2021-06-06,Nainital,Tiwari Nursing Home,,,,1,0,0,
2021-06-06,Uttarkashi,District Hospital,,,,1,0,0,
2021-06-05,Udham Singh Nagar,"JLN District Hospital, Rudrapur",,,,1,1,0,
2021-06-05,Dehradun,City Heart Hospital,,,,1,0,0,
2021-06-05,Dehradun,AIIMS Rishikesh,,,,175,28,6,
2021-06-05,Dehradun,Max Hospital,,,,9,1,3,
2021-06-05,Dehradun,Doon Medical College,,,,12,0,3,
2021-06-05,Dehradun,Sri Mahant Indresh Hospital,,,,24,3,0,
2021-06-05,Dehradun,HIHT Joly Grant,,,,26,5,6,
2021-06-05,Dehradun,Aarogyadham Hospital,,,,2,0,0,
2021-06-05,Dehradun,ONGC Hospital,,,,1,0,0,
2021-06-05,Dehradun,Synergy Hospital,,,,1,1,0,
2021-06-05,Nainital,"Krishna Hospital, Haldwani",,,,3,1,0,
2021-06-05,Nainital,"Dr. Susheela Tiwari Govt. Hospital, Haldwani",,,,22,4,0,
2021-06-05,Nainital,Tiwari Nursing Home,,,,1,0,0,
2021-06-05,Uttarkashi,District Hospital,,,,1,0,0,
2021-06-04,Udham Singh Nagar,"JLN District Hospital, Rudrapur",,,,1,1,0,
2021-06-04,Dehradun,City Heart Hospital,,,,1,0,0,
2021-06-04,Dehradun,AIIMS Rishikesh,,,,156,20,4,
2021-06-04,Dehradun,Max Hospital,,,,9,1,3,
2021-06-04,Dehradun,Doon Medical College,,,,12,0,3,
2021-06-04,Dehradun,Sri Mahant Indresh Hospital,,,,24,3,0,
2021-06-04,Dehradun,HIHT Joly Grant,,,,26,5,6,
2021-06-04,Dehradun,Aarogyadham Hospital,,,,2,0,0,
2021-06-04,Dehradun,ONGC Hospital,,,,1,0,0,
2021-06-04,Dehradun,Synergy Hospital,,,,1,1,0,
2021-06-04,Nainital,"Krishna Hospital, Haldwani",,,,3,1,0,
2021-06-04,Nainital,"Dr. Susheela Tiwari Govt. Hospital, Haldwani",,,,22,4,0,
2021-06-04,Nainital,Tiwari Nursing Home,,,,1,0,0,
2021-06-04,Uttarkashi,District Hospital,,,,1,0,0,
2021-06-03,Udham Singh Nagar,"JLN District Hospital, Rudrapur",,,,1,1,0,
2021-06-03,Dehradun,City Heart Hospital,,,,1,0,0,
2021-06-03,Dehradun,AIIMS Rishikesh,,,,156,20,4,
2021-06-03,Dehradun,Max Hospital,,,,9,1,3,
2021-06-03,Dehradun,Doon Medical College,,,,12,0,3,
2021-06-03,Dehradun,Sri Mahant Indresh Hospital,,,,24,3,0,
2021-06-03,Dehradun,HIHT Joly Grant,,,,26,5,6,
2021-06-03,Dehradun,Aarogyadham Hospital,,,,2,0,0,
2021-06-03,Dehradun,ONGC Hospital,,,,1,0,0,
2021-06-03,Dehradun,Synergy Hospital,,,,1,1,0,
2021-06-03,Nainital,"Krishna Hospital, Haldwani",,,,3,0,0,
2021-06-03,Nainital,"Dr. Susheela Tiwari Govt. Hospital, Haldwani",,,,17,4,0,
2021-06-03,Nainital,Tiwari Nursing Home,,,,1,0,0,
2021-06-03,Uttarkashi,District Hospital,,,,1,0,0,
2021-06-02,Udham Singh Nagar,"JLN District Hospital, Rudrapur",,,,1,1,0,
2021-06-02,Dehradun,City Heart Hospital,,,,1,0,0,
2021-06-02,Dehradun,AIIMS Rishikesh,,,,147,13,4,
2021-06-02,Dehradun,Max Hospital,,,,9,1,3,
2021-06-02,Dehradun,Doon Medical College,,,,12,0,0,
2021-06-02,Dehradun,Sri Mahant Indresh Hospital,,,,24,3,0,
2021-06-02,Dehradun,HIHT Joly Grant,,,,26,5,6,
2021-06-02,Dehradun,Aarogyadham Hospital,,,,2,0,0,
2021-06-02,Dehradun,ONGC Hospital,,,,1,0,0,
2021-06-02,Dehradun,Synergy Hospital,,,,1,1,0,
2021-06-02,Nainital,"Krishna Hospital, Haldwani",,,,3,0,0,
2021-06-02,Nainital,"Dr. Susheela Tiwari Govt. Hospital, Haldwani",,,,15,3,0,
2021-06-02,Nainital,Tiwari Nursing Home,,,,1,0,0,
2021-06-02,Uttarkashi,District Hospital,,,,1,0,0,
2021-06-01,Udham Singh Nagar,"JLN District Hospital, Rudrapur",,,,1,1,0,
2021-06-01,Dehradun,City Heart Hospital,,,,1,0,0,
2021-06-01,Dehradun,AIIMS Rishikesh,,,,142,8,4,
2021-06-01,Dehradun,Max Hospital,,,,7,0,3,
2021-06-01,Dehradun,Doon Medical College,,,,12,0,0,
2021-06-01,Dehradun,Sri Mahant Indresh Hospital,,,,24,3,0,
2021-06-01,Dehradun,HIHT Joly Grant,,,,26,4,6,
2021-06-01,Dehradun,Aarogyadham Hospital,,,,2,0,0,
2021-06-01,Dehradun,ONGC Hospital,,,,1,0,0,
2021-06-01,Dehradun,Synergy Hospital,,,,1,1,0,
2021-06-01,Nainital,"Krishna Hospital, Haldwani",,,,3,0,0,
2021-06-01,Nainital,"Dr. Susheela Tiwari Govt. Hospital, Haldwani",,,,15,3,0,
2021-06-01,Nainital,Tiwari Nursing Home,,,,1,0,0,
2021-06-01,Uttarkashi,District Hospital,,,,1,0,0,
2021-10-31,Udham Singh Nagar,"JLN District Hospital, Rudrapur",0.0,0.0,0.0,1,1,0,0.0
2021-10-31,Dehradun,AIIMS Rishikesh,0.0,0.0,0.0,416,98,273,40.0
2021-10-31,Dehradun,Max Hospital,0.0,0.0,0.0,17,4,12,1.0
2021-10-31,Dehradun,Doon Medical College,0.0,0.0,0.0,24,1,14,9.0
2021-10-31,Dehradun,Sri Mahant Indresh Hospital,0.0,0.0,0.0,33,3,30,0.0
2021-10-31,Dehradun,HIHT Joly Grant,0.0,0.0,0.0,51,17,28,6.0
2021-10-31,Dehradun,Aarogyadham Hospital,0.0,0.0,0.0,2,0,0,2.0
2021-10-31,Dehradun,ONGC Hospital,0.0,0.0,0.0,2,0,0,2.0
2021-10-31,Dehradun,Synergy Hospital,0.0,0.0,0.0,2,1,0,1.0
2021-10-31,Dehradun,Military Hospital Dehradun,0.0,0.0,0.0,1,0,1,0.0
2021-10-31,Nainital,"Krishna Hospital, Haldwani",0.0,0.0,0.0,3,1,2,0.0
2021-10-31,Nainital,"Dr. Susheela Tiwari Govt. Hospital, Haldwani",0.0,0.0,0.0,33,6,19,8.0
2021-10-31,Uttarkashi,District Hospital,0.0,0.0,0.0,2,0,0,2.0
2021-10-31,Haridwar,Military Hospital Roorkee,0.0,0.0,0.0,2,1,1,0.0
2021-10-31,Haridwar,"Aarogyam Hospital, Roorkee",0.0,0.0,0.0,1,0,1,0.0
2021-10-30,Udham Singh Nagar,"JLN District Hospital, Rudrapur",0.0,0.0,0.0,1,1,0,0.0
2021-10-30,Dehradun,AIIMS Rishikesh,0.0,0.0,0.0,416,98,273,40.0
2021-10-30,Dehradun,Max Hospital,0.0,0.0,0.0,17,4,12,1.0
2021-10-30,Dehradun,Doon Medical College,0.0,0.0,0.0,24,1,14,9.0
2021-10-30,Dehradun,Sri Mahant Indresh Hospital,0.0,0.0,0.0,33,3,30,0.0
2021-10-30,Dehradun,HIHT Joly Grant,0.0,0.0,0.0,51,17,28,6.0
2021-10-30,Dehradun,Aarogyadham Hospital,0.0,0.0,0.0,2,0,0,2.0
2021-10-30,Dehradun,ONGC Hospital,0.0,0.0,0.0,2,0,0,2.0
2021-10-30,Dehradun,Synergy Hospital,0.0,0.0,0.0,2,1,0,1.0
2021-10-30,Dehradun,Military Hospital Dehradun,0.0,0.0,0.0,1,0,1,0.0
2021-10-30,Nainital,"Krishna Hospital, Haldwani",0.0,0.0,0.0,3,1,2,0.0
2021-10-30,Nainital,"Dr. Susheela Tiwari Govt. Hospital, Haldwani",0.0,0.0,0.0,33,6,19,8.0
2021-10-30,Uttarkashi,District Hospital,0.0,0.0,0.0,2,0,0,2.0
2021-10-30,Haridwar,Military Hospital Roorkee,0.0,0.0,0.0,2,1,1,0.0
2021-10-30,Haridwar,"Aarogyam Hospital, Roorkee",0.0,0.0,0.0,1,0,1,0.0
2021-10-29,Udham Singh Nagar,"JLN District Hospital, Rudrapur",0.0,0.0,0.0,1,1,0,0.0
2021-10-29,Dehradun,AIIMS Rishikesh,0.0,0.0,0.0,416,98,273,40.0
2021-10-29,Dehradun,Max Hospital,0.0,0.0,0.0,17,4,12,1.0
2021-10-29,Dehradun,Doon Medical College,0.0,0.0,0.0,24,1,14,9.0
2021-10-29,Dehradun,Sri Mahant Indresh Hospital,0.0,0.0,0.0,33,3,30,0.0
2021-10-29,Dehradun,HIHT Joly Grant,0.0,0.0,0.0,51,17,28,6.0
2021-10-29,Dehradun,Aarogyadham Hospital,0.0,0.0,0.0,2,0,0,2.0
2021-10-29,Dehradun,ONGC Hospital,0.0,0.0,0.0,2,0,0,2.0
2021-10-29,Dehradun,Synergy Hospital,0.0,0.0,0.0,2,1,0,1.0
2021-10-29,Dehradun,Military Hospital Dehradun,0.0,0.0,0.0,1,0,1,0.0
2021-10-29,Nainital,"Krishna Hospital, Haldwani",0.0,0.0,0.0,3,1,2,0.0
2021-10-29,Nainital,"Dr. Susheela Tiwari Govt. Hospital, Haldwani",0.0,0.0,0.0,33,6,19,8.0
2021-10-29,Uttarkashi,District Hospital,0.0,0.0,0.0,2,0,0,2.0
2021-10-29,Haridwar,Military Hospital Roorkee,0.0,0.0,0.0,2,1,1,0.0
2021-10-29,Haridwar,"Aarogyam Hospital, Roorkee",0.0,0.0,0.0,1,0,1,0.0
2021-10-28,Udham Singh Nagar,"JLN District Hospital, Rudrapur",0.0,0.0,0.0,1,1,0,0.0
2021-10-28,Dehradun,AIIMS Rishikesh,0.0,0.0,0.0,416,98,273,40.0
2021-10-28,Dehradun,Max Hospital,0.0,0.0,0.0,17,4,12,1.0
2021-10-28,Dehradun,Doon Medical College,0.0,0.0,0.0,24,1,14,9.0
2021-10-28,Dehradun,Sri Mahant Indresh Hospital,0.0,0.0,0.0,33,3,30,0.0
2021-10-28,Dehradun,HIHT Joly Grant,0.0,0.0,0.0,51,17,28,6.0
2021-10-28,Dehradun,Aarogyadham Hospital,0.0,0.0,0.0,2,0,0,2.0
2021-10-28,Dehradun,ONGC Hospital,0.0,0.0,0.0,2,0,0,2.0
2021-10-28,Dehradun,Synergy Hospital,0.0,0.0,0.0,2,1,0,1.0
2021-10-28,Dehradun,Military Hospital Dehradun,0.0,0.0,0.0,1,0,1,0.0
2021-10-28,Nainital,"Krishna Hospital, Haldwani",0.0,0.0,0.0,3,1,2,0.0
2021-10-28,Nainital,"Dr. Susheela Tiwari Govt. Hospital, Haldwani",0.0,0.0,0.0,33,6,19,8.0
2021-10-28,Uttarkashi,District Hospital,0.0,0.0,0.0,2,0,0,2.0
2021-10-28,Haridwar,Military Hospital Roorkee,0.0,0.0,0.0,2,1,1,0.0
2021-10-28,Haridwar,"Aarogyam Hospital, Roorkee",0.0,0.0,0.0,1,0,1,0.0
2021-10-27,Udham Singh Nagar,"JLN District Hospital, Rudrapur",0.0,0.0,0.0,1,1,0,0.0
2021-10-27,Dehradun,AIIMS Rishikesh,0.0,0.0,0.0,416,98,273,40.0
2021-10-27,Dehradun,Max Hospital,0.0,0.0,0.0,17,4,12,1.0
2021-10-27,Dehradun,Doon Medical College,0.0,0.0,0.0,24,1,14,9.0
2021-10-27,Dehradun,Sri Mahant Indresh Hospital,0.0,0.0,0.0,33,3,30,0.0
2021-10-27,Dehradun,HIHT Joly Grant,0.0,0.0,0.0,51,17,28,6.0
2021-10-27,Dehradun,Aarogyadham Hospital,0.0,0.0,0.0,2,0,0,2.0
2021-10-27,Dehradun,ONGC Hospital,0.0,0.0,0.0,2,0,0,2.0
2021-10-27,Dehradun,Synergy Hospital,0.0,0.0,0.0,2,1,0,1.0
2021-10-27,Dehradun,Military Hospital Dehradun,0.0,0.0,0.0,1,0,1,0.0
2021-10-27,Nainital,"Krishna Hospital, Haldwani",0.0,0.0,0.0,3,1,2,0.0
2021-10-27,Nainital,"Dr. Susheela Tiwari Govt. Hospital, Haldwani",0.0,0.0,0.0,33,6,19,8.0
2021-10-27,Uttarkashi,District Hospital,0.0,0.0,0.0,2,0,0,2.0
2021-10-27,Haridwar,Military Hospital Roorkee,0.0,0.0,0.0,2,1,1,0.0
2021-10-27,Haridwar,"Aarogyam Hospital, Roorkee",0.0,0.0,0.0,1,0,1,0.0
2021-10-26,Udham Singh Nagar,"JLN District Hospital, Rudrapur",0.0,0.0,0.0,1,1,0,0.0
2021-10-26,Dehradun,AIIMS Rishikesh,0.0,0.0,0.0,416,98,273,40.0
2021-10-26,Dehradun,Max Hospital,0.0,0.0,0.0,17,4,12,1.0
2021-10-26,Dehradun,Doon Medical College,0.0,0.0,0.0,24,1,14,9.0
2021-10-26,Dehradun,Sri Mahant Indresh Hospital,0.0,0.0,0.0,33,3,30,0.0
2021-10-26,Dehradun,HIHT Joly Grant,0.0,0.0,0.0,51,17,28,6.0
2021-10-26,Dehradun,Aarogyadham Hospital,0.0,0.0,0.0,2,0,0,2.0
2021-10-26,Dehradun,ONGC Hospital,0.0,0.0,0.0,2,0,0,2.0
2021-10-26,Dehradun,Synergy Hospital,0.0,0.0,0.0,2,1,0,1.0
2021-10-26,Dehradun,Military Hospital Dehradun,0.0,0.0,0.0,1,0,1,0.0
2021-10-26,Nainital,"Krishna Hospital, Haldwani",0.0,0.0,0.0,3,1,2,0.0
2021-10-26,Nainital,"Dr. Susheela Tiwari Govt. Hospital, Haldwani",0.0,0.0,0.0,33,6,19,8.0
2021-10-26,Uttarkashi,District Hospital,0.0,0.0,0.0,2,0,0,2.0
2021-10-26,Haridwar,Military Hospital Roorkee,0.0,0.0,0.0,2,1,1,0.0
2021-10-26,Haridwar,"Aarogyam Hospital, Roorkee",0.0,0.0,0.0,1,0,1,0.0
2021-10-25,Udham Singh Nagar,"JLN District Hospital, Rudrapur",0.0,0.0,0.0,1,1,0,0.0
2021-10-25,Dehradun,AIIMS Rishikesh,0.0,0.0,0.0,416,98,273,40.0
2021-10-25,Dehradun,Max Hospital,0.0,0.0,0.0,17,4,12,1.0
2021-10-25,Dehradun,Doon Medical College,0.0,0.0,0.0,24,1,14,9.0
2021-10-25,Dehradun,Sri Mahant Indresh Hospital,0.0,0.0,0.0,33,3,30,0.0
2021-10-25,Dehradun,HIHT Joly Grant,0.0,0.0,0.0,51,17,28,6.0
2021-10-25,Dehradun,Aarogyadham Hospital,0.0,0.0,0.0,2,0,0,2.0
2021-10-25,Dehradun,ONGC Hospital,0.0,0.0,0.0,2,0,0,2.0
2021-10-25,Dehradun,Synergy Hospital,0.0,0.0,0.0,2,1,0,1.0
2021-10-25,Dehradun,Military Hospital Dehradun,0.0,0.0,0.0,1,0,1,0.0
2021-10-25,Nainital,"Krishna Hospital, Haldwani",0.0,0.0,0.0,3,1,2,0.0
2021-10-25,Nainital,"Dr. Susheela Tiwari Govt. Hospital, Haldwani",0.0,0.0,0.0,33,6,19,8.0
2021-10-25,Uttarkashi,District Hospital,0.0,0.0,0.0,2,0,0,2.0
2021-10-25,Haridwar,Military Hospital Roorkee,0.0,0.0,0.0,2,1,1,0.0
2021-10-25,Haridwar,"Aarogyam Hospital, Roorkee",0.0,0.0,0.0,1,0,1,0.0
2021-10-24,Udham Singh Nagar,"JLN District Hospital, Rudrapur",0.0,0.0,0.0,1,1,0,0.0
2021-10-24,Dehradun,AIIMS Rishikesh,0.0,0.0,0.0,416,98,273,40.0
2021-10-24,Dehradun,Max Hospital,0.0,0.0,0.0,17,4,12,1.0
2021-10-24,Dehradun,Doon Medical College,0.0,0.0,0.0,24,1,14,9.0
2021-10-24,Dehradun,Sri Mahant Indresh Hospital,0.0,0.0,0.0,33,3,30,0.0
2021-10-24,Dehradun,HIHT Joly Grant,0.0,0.0,0.0,51,17,28,6.0
2021-10-24,Dehradun,Aarogyadham Hospital,0.0,0.0,0.0,2,0,0,2.0
2021-10-24,Dehradun,ONGC Hospital,0.0,0.0,0.0,2,0,0,2.0
2021-10-24,Dehradun,Synergy Hospital,0.0,0.0,0.0,2,1,0,1.0
2021-10-24,Dehradun,Military Hospital Dehradun,0.0,0.0,0.0,1,0,1,0.0
2021-10-24,Nainital,"Krishna Hospital, Haldwani",0.0,0.0,0.0,3,1,2,0.0
2021-10-24,Nainital,"Dr. Susheela Tiwari Govt. Hospital, Haldwani",0.0,0.0,0.0,33,6,19,8.0
2021-10-24,Uttarkashi,District Hospital,0.0,0.0,0.0,2,0,0,2.0
2021-10-24,Haridwar,Military Hospital Roorkee,0.0,0.0,0.0,2,1,1,0.0
2021-10-24,Haridwar,"Aarogyam Hospital, Roorkee",0.0,0.0,0.0,1,0,1,0.0
2021-10-23,Udham Singh Nagar,"JLN District Hospital, Rudrapur",0.0,0.0,0.0,1,1,0,0.0
2021-10-23,Dehradun,AIIMS Rishikesh,0.0,0.0,0.0,416,98,273,40.0
2021-10-23,Dehradun,Max Hospital,0.0,0.0,0.0,17,4,12,1.0
2021-10-23,Dehradun,Doon Medical College,0.0,0.0,0.0,24,1,14,9.0
2021-10-23,Dehradun,Sri Mahant Indresh Hospital,0.0,0.0,0.0,33,3,30,0.0
2021-10-23,Dehradun,HIHT Joly Grant,0.0,0.0,0.0,51,17,28,6.0
2021-10-23,Dehradun,Aarogyadham Hospital,0.0,0.0,0.0,2,0,0,2.0
2021-10-23,Dehradun,ONGC Hospital,0.0,0.0,0.0,2,0,0,2.0
2021-10-23,Dehradun,Synergy Hospital,0.0,0.0,0.0,2,1,0,1.0
2021-10-23,Dehradun,Military Hospital Dehradun,0.0,0.0,0.0,1,0,1,0.0
2021-10-23,Nainital,"Krishna Hospital, Haldwani",0.0,0.0,0.0,3,1,2,0.0
2021-10-23,Nainital,"Dr. Susheela Tiwari Govt. Hospital, Haldwani",0.0,0.0,0.0,33,6,19,8.0
2021-10-23,Uttarkashi,District Hospital,0.0,0.0,0.0,2,0,0,2.0
2021-10-23,Haridwar,Military Hospital Roorkee,0.0,0.0,0.0,2,1,1,0.0
2021-10-23,Haridwar,"Aarogyam Hospital, Roorkee",0.0,0.0,0.0,1,0,1,0.0
2021-10-22,Udham Singh Nagar,"JLN District Hospital, Rudrapur",0.0,0.0,0.0,1,1,0,0.0
2021-10-22,Dehradun,AIIMS Rishikesh,0.0,0.0,0.0,416,98,273,40.0
2021-10-22,Dehradun,Max Hospital,0.0,0.0,0.0,17,4,12,1.0
2021-10-22,Dehradun,Doon Medical College,0.0,0.0,0.0,24,1,14,9.0
2021-10-22,Dehradun,Sri Mahant Indresh Hospital,0.0,0.0,0.0,33,3,30,0.0
2021-10-22,Dehradun,HIHT Joly Grant,0.0,0.0,0.0,51,17,28,6.0
2021-10-22,Dehradun,Aarogyadham Hospital,0.0,0.0,0.0,2,0,0,2.0
2021-10-22,Dehradun,ONGC Hospital,0.0,0.0,0.0,2,0,0,2.0
2021-10-22,Dehradun,Synergy Hospital,0.0,0.0,0.0,2,1,0,1.0
2021-10-22,Dehradun,Military Hospital Dehradun,0.0,0.0,0.0,1,0,1,0.0
2021-10-22,Nainital,"Krishna Hospital, Haldwani",0.0,0.0,0.0,3,1,2,0.0
2021-10-22,Nainital,"Dr. Susheela Tiwari Govt. Hospital, Haldwani",0.0,0.0,0.0,33,6,19,8.0
2021-10-22,Uttarkashi,District Hospital,0.0,0.0,0.0,2,0,0,2.0
2021-10-22,Haridwar,Military Hospital Roorkee,0.0,0.0,0.0,2,1,1,0.0
2021-10-22,Haridwar,"Aarogyam Hospital, Roorkee",0.0,0.0,0.0,1,0,1,0.0
2021-10-21,Udham Singh Nagar,"JLN District Hospital, Rudrapur",0.0,0.0,0.0,1,1,0,0.0
2021-10-21,Dehradun,AIIMS Rishikesh,0.0,0.0,0.0,416,98,272,41.0
2021-10-21,Dehradun,Max Hospital,0.0,0.0,0.0,17,4,12,1.0
